sku,attribute_set_code,product_type,additional_attributes
protex-3-laced-training-gloves,Migration_Default,configurable,offline_product=No
191200,Migration_Default,simple,offline_product=No
191400,Migration_Default,simple,offline_product=No
191600,Migration_Default,simple,offline_product=No
191800,Migration_Default,simple,offline_product=No
192000,Migration_Default,simple,offline_product=No
4301SM,Migration_Default,simple,offline_product=No
4301LXL,Migration_Default,simple,offline_product=No
4303,Migration_Default,simple,offline_product=No
4301GLSM,Migration_Default,simple,offline_product=No
4301GLLXL,Migration_Default,simple,offline_product=No
4311LXL,Migration_Default,simple,offline_product=No
4455-3,Migration_Default,simple,offline_product=No
4022,Migration_Default,simple,offline_product=No
620001,Migration_Default,simple,offline_product=No
620201,Migration_Default,simple,offline_product=No
620401,Migration_Default,simple,offline_product=No
620601,Migration_Default,simple,offline_product=No
620000,Migration_Default,simple,offline_product=No
620200,Migration_Default,simple,offline_product=No
620400,Migration_Default,simple,offline_product=No
620600,Migration_Default,simple,offline_product=No
620006,Migration_Default,simple,offline_product=No
620206,Migration_Default,simple,offline_product=No
620406,Migration_Default,simple,offline_product=No
620606,Migration_Default,simple,offline_product=No
620004,Migration_Default,simple,offline_product=No
620204,Migration_Default,simple,offline_product=No
620604,Migration_Default,simple,offline_product=No
usa-headgear-with-cheek,Migration_Default,configurable,offline_product=No
610000-10,Migration_Default,simple,offline_product=No
610200-10,Migration_Default,simple,offline_product=No
610400-10,Migration_Default,simple,offline_product=No
610600-10,Migration_Default,simple,offline_product=No
610006-10,Migration_Default,simple,offline_product=No
610206-10,Migration_Default,simple,offline_product=Yes
610406-10,Migration_Default,simple,offline_product=No
610606-10,Migration_Default,simple,offline_product=No
usa-headgear-open-face,Migration_Default,configurable,offline_product=No
4410E,Migration_Default,simple,offline_product=No
4410BE,Migration_Default,simple,offline_product=No
double-mouth-guard,Migration_Default,configurable,offline_product=No
4405E,Migration_Default,simple,offline_product=No
4405BE,Migration_Default,simple,offline_product=No
single-mouth-guard,Migration_Default,configurable,offline_product=No
520200,Migration_Default,simple,offline_product=No
520400,Migration_Default,simple,offline_product=No
mx-cup-hook-loop,Migration_Default,configurable,offline_product=No
750001,Migration_Default,simple,offline_product=No
750201,Migration_Default,simple,offline_product=Yes
750401,Migration_Default,simple,offline_product=No
750601,Migration_Default,simple,offline_product=Yes
950001,Migration_Default,simple,offline_product=No
950201,Migration_Default,simple,offline_product=Yes
950401,Migration_Default,simple,offline_product=No
950601,Migration_Default,simple,offline_product=Yes
760001,Migration_Default,simple,offline_product=Yes
760201,Migration_Default,simple,offline_product=No
760401,Migration_Default,simple,offline_product=Yes
760601,Migration_Default,simple,offline_product=Yes
531001,Migration_Default,simple,offline_product=No
532001,Migration_Default,simple,offline_product=No
714501,Migration_Default,simple,offline_product=No
410000,Migration_Default,simple,offline_product=Yes
410001,Migration_Default,simple,offline_product=No
4318,Migration_Default,simple,offline_product=No
4416,Migration_Default,simple,offline_product=No
4416GL,Migration_Default,simple,offline_product=No
421100,Migration_Default,simple,offline_product=No
9210,Migration_Default,simple,offline_product=No
DE01,Migration_Default,simple,offline_product=No
4683,Migration_Default,simple,offline_product=No
5263,Migration_Default,simple,offline_product=No
5208,Migration_Default,simple,offline_product=Yes
platinum-nevatear-heavy-bag,Migration_Default,configurable,offline_product=No
4004,Migration_Default,simple,offline_product=No
4006,Migration_Default,simple,offline_product=No
4008,Migration_Default,simple,offline_product=No
4000,Migration_Default,simple,offline_product=No
nevatear-heavy-bag,Migration_Default,configurable,offline_product=No
49040100,Migration_Default,simple,offline_product=No
4657,Migration_Default,simple,offline_product=No
5808,Migration_Default,simple,offline_product=Yes
5800,Migration_Default,simple,offline_product=Yes
