sku,attribute_set_code,product_type,additional_attributes
9283081898,Migration_Default,simple,"color=White#F5F0F2,is_recurring=Yes,gift_wrapping_available=No,size=6.5,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear,offline_product=Yes,limited_edition=No"
9283081997,Migration_Default,simple,"color=White#F5F0F2,size=11.5,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
9283082055,Migration_Default,simple,"color=White#F5F0F2,size=15,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
white-pro-suede-lo-top-boxing-shoes,Migration_Default,configurable,"product_attribute_badge=On Sale Badge,gender=male,google_product_category=Apparel & Accessories>Shoes>Athletic Shoes & Sneakers>Athletic Shoes>Boxing Shoes,offline_product=No,filter_color=White,sizechart=size-charts/shoes"
7684BLSM,Migration_Default,simple,"color=Blue MMA Amateur Fight Gloves,size=S/M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear,engineered_for=Competition|Grappling"
7684BLLXL,Migration_Default,simple,"color=Blue MMA Amateur Fight Gloves,size=L/XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear,engineered_for=Competition|Grappling"
7684RSM,Migration_Default,simple,"color=Red MMA Amateur Fight Gloves,size=S/M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear,engineered_for=Competition|Grappling"
7684RLXL,Migration_Default,simple,"color=Red MMA Amateur Fight Gloves,size=L/XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear,engineered_for=Competition|Grappling"
mma-amateur-fight-gloves,Migration_Default,configurable,"gender=male,google_product_category=Sporting Goods>Combat Sports>Boxing>Boxing Gloves & Mitts,engineered_for=Competition|Grappling,offline_product=No,filter_color=Blue|Red,sizing_chart_info=Size Chart_MMA Amateur Glove,sizechart=size-charts/mma-amateur-fight-gloves"
7675SMGL,Migration_Default,simple,"is_recurring=No,size=S,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear,engineered_for=Grappling|Mitt Work|Sparring,sizechart=size-charts/mma-training-gloves"
820206,Migration_Default,simple,"color=Blue/White2,is_recurring=No,gift_wrapping_available=No,size=M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear,engineered_for=Grappling|Mitt Work|Sparring,offline_product=No,limited_edition=No,exclude_tag=No,swatch_data=color=268&size=162"
820206,Migration_Default,simple,
820406,Migration_Default,simple,"color=Blue/White2,is_recurring=No,gift_wrapping_available=No,size=L,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear,engineered_for=Grappling|Mitt Work|Sparring,offline_product=No,limited_edition=No,exclude_tag=No,swatch_data=color=268&size=163"
820406,Migration_Default,simple,
820606,Migration_Default,simple,"color=Blue/White2,is_recurring=No,gift_wrapping_available=No,size=XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear,engineered_for=Grappling,offline_product=No,limited_edition=No,exclude_tag=No,swatch_data=color=268&size=12"
820606,Migration_Default,simple,
thai-striking-gloves,Migration_Default,configurable,"gender=male,google_product_category=Sporting Goods>Combat Sports>Boxing>Boxing Gloves & Mitts,engineered_for=Grappling|Mitt Work|Sparring,offline_product=No,filter_color=Blue/White,sizing_chart_info=Size Chart_MMA Pro Fight Glove,exclude_tag=Yes,vp_bullets=<ul class=""vp-bullets"">
            <li>Choice of Champions</li>
            <li>Worlds Leading Manufacturer of Boxing, MMA and fitness Equipment</li>
            <li>Easy Returns & Exchanges</li>
            </ul>,sizechart=size-charts/fight-gloves"
830206,Migration_Default,simple,"is_recurring=No,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear,engineered_for=Kicking,offline_product=No"
817022206,Migration_Default,simple,"color=Navy/Aqua Vertical T-Shirt,size=S,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
817032206,Migration_Default,simple,"color=Navy/Aqua Vertical T-Shirt,size=M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
817042206,Migration_Default,simple,"color=Navy/Aqua Vertical T-Shirt,size=L,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
817052206,Migration_Default,simple,"color=Navy/Aqua Vertical T-Shirt,size=XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
817062206,Migration_Default,simple,"color=Navy/Aqua Vertical T-Shirt,size=XXL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
818020107,Migration_Default,simple,"color=Black/Grey Vertical T-Shirt,size=S,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
818030107,Migration_Default,simple,"color=Black/Grey Vertical T-Shirt,size=M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
818040107,Migration_Default,simple,"color=Black/Grey Vertical T-Shirt,size=L,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
818050107,Migration_Default,simple,"color=Black/Grey Vertical T-Shirt,size=XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
818060107,Migration_Default,simple,"color=Black/Grey Vertical T-Shirt,size=XXL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
819021301,Migration_Default,simple,"color=Charcoal/Black Vertical T-Shirt,size=S,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
819031301,Migration_Default,simple,"color=Charcoal/Black Vertical T-Shirt,size=M,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
819041301,Migration_Default,simple,"color=Charcoal/Black Vertical T-Shirt,size=L,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
819051301,Migration_Default,simple,"color=Charcoal/Black Vertical T-Shirt,size=XL,gender=male,google_product_category=Apparel & Accessories > Clothing > Outerwear"
